installation_step,bar_index,entity_id,guid,name,tag,length_mm,radius_mm,entry_direction,forced_core_resolution
78,3317,390265,0uegOgAsjDrBLfn4efvx16,吊点加强钢筋_B1:吊点加强钢筋_B1:710249,710249,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
79,3397,391177,0uegOgAsjDrBLfn4efvx3Q,吊点加强钢筋_B1:吊点加强钢筋_B1:710389,710389,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
80,3400,391210,0uegOgAsjDrBLfn4efvx3N,吊点加强钢筋_B1:吊点加强钢筋_B1:710392,710392,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
81,3262,386314,0uegOgAsjDrBLfn4efvxTN,吊点加强钢筋_B1:吊点加强钢筋_B1:708984,708984,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
82,3258,385814,0uegOgAsjDrBLfn4efvxTV,吊点加强钢筋_B1:吊点加强钢筋_B1:708976,708976,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
83,3259,385825,0uegOgAsjDrBLfn4efvxTT,吊点加强钢筋_B1:吊点加强钢筋_B1:708978,708978,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
84,3339,390515,0uegOgAsjDrBLfn4efvx2F,吊点加强钢筋_B1:吊点加强钢筋_B1:710304,710304,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
85,3338,390504,0uegOgAsjDrBLfn4efvx2m,吊点加强钢筋_B1:吊点加强钢筋_B1:710303,710303,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
86,3342,390548,0uegOgAsjDrBLfn4efvx2C,吊点加强钢筋_B1:吊点加强钢筋_B1:710307,710307,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
87,3302,390092,0uegOgAsjDrBLfn4efvx1b,吊点加强钢筋_B1:吊点加强钢筋_B1:710218,710218,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
88,3298,390048,0uegOgAsjDrBLfn4efvx1f,吊点加强钢筋_B1:吊点加强钢筋_B1:710214,710214,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
89,3299,390059,0uegOgAsjDrBLfn4efvx1e,吊点加强钢筋_B1:吊点加强钢筋_B1:710215,710215,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
90,3379,390971,0uegOgAsjDrBLfn4efvx3p,吊点加强钢筋_B1:吊点加强钢筋_B1:710364,710364,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
91,3378,390960,0uegOgAsjDrBLfn4efvx3q,吊点加强钢筋_B1:吊点加强钢筋_B1:710363,710363,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
92,3382,391004,0uegOgAsjDrBLfn4efvx3m,吊点加强钢筋_B1:吊点加强钢筋_B1:710367,710367,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
93,3263,386325,0uegOgAsjDrBLfn4efvxTL,吊点加强钢筋_B1:吊点加强钢筋_B1:708986,708986,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
94,3261,386303,0uegOgAsjDrBLfn4efvxTP,吊点加强钢筋_B1:吊点加强钢筋_B1:708982,708982,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
95,3341,390537,0uegOgAsjDrBLfn4efvx2D,吊点加强钢筋_B1:吊点加强钢筋_B1:710306,710306,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
96,3343,390559,0uegOgAsjDrBLfn4efvx2B,吊点加强钢筋_B1:吊点加强钢筋_B1:710308,710308,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
97,3303,390103,0uegOgAsjDrBLfn4efvx1a,吊点加强钢筋_B1:吊点加强钢筋_B1:710219,710219,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
98,3301,390081,0uegOgAsjDrBLfn4efvx1c,吊点加强钢筋_B1:吊点加强钢筋_B1:710217,710217,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
99,3381,390993,0uegOgAsjDrBLfn4efvx3n,吊点加强钢筋_B1:吊点加强钢筋_B1:710366,710366,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
100,3383,391015,0uegOgAsjDrBLfn4efvx3F,吊点加强钢筋_B1:吊点加强钢筋_B1:710368,710368,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
101,3260,386292,0uegOgAsjDrBLfn4efvxTR,吊点加强钢筋_B1:吊点加强钢筋_B1:708980,708980,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
102,3257,385802,0uegOgAsjDrBLfn4efvxT1,吊点加强钢筋_B1:吊点加强钢筋_B1:708974,708974,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
103,3337,390493,0uegOgAsjDrBLfn4efvx2n,吊点加强钢筋_B1:吊点加强钢筋_B1:710302,710302,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
104,3340,390526,0uegOgAsjDrBLfn4efvx2E,吊点加强钢筋_B1:吊点加强钢筋_B1:710305,710305,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
105,3300,390070,0uegOgAsjDrBLfn4efvx1d,吊点加强钢筋_B1:吊点加强钢筋_B1:710216,710216,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
106,3297,390037,0uegOgAsjDrBLfn4efvx1g,吊点加强钢筋_B1:吊点加强钢筋_B1:710213,710213,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
107,3377,390949,0uegOgAsjDrBLfn4efvx3r,吊点加强钢筋_B1:吊点加强钢筋_B1:710362,710362,578.90062,6.00000,0.00000000;0.00000000;-1.00000000,0
108,3380,390982,0uegOgAsjDrBLfn4efvx3o,吊点加强钢筋_B1:吊点加强钢筋_B1:710365,710365,578.90096,6.00000,0.00000000;0.00000000;-1.00000000,0
109,1862,234888,226IH29Rv9RAUPmQtypW50,主梁钢筋_N10:主梁钢筋_N10:653123,653123,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
110,1875,235031,226IH29Rv9RAUPmQtypWuR,主梁钢筋_N10:主梁钢筋_N10:653336,653336,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
111,1863,234899,226IH29Rv9RAUPmQtypW5E,主梁钢筋_N10:主梁钢筋_N10:653133,653133,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
112,1876,235042,226IH29Rv9RAUPmQtypWuP,主梁钢筋_N10:主梁钢筋_N10:653338,653338,32530.00000,6.00000,0.00000000;0.00000000;-1.00000000,0
113,3287,389246,0uegOgAsjDrBLfn4efvxFS,吊点加强钢筋_B2:吊点加强钢筋_B2:710131,710131,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
