time_s,installation_step,bar_index,phase,x_mm,y_mm,z_mm,qx,qy,qz,qw,gripper
5158.657074,2012,449,preinsert,7731.996401,2667.354525,237.199113,0.707103442,0.707110120,0.000000000,0.000000000,1
5158.756368,2012,449,preinsert,7731.996401,2667.354525,206.012910,0.707103442,0.707110120,0.000000000,0.000000000,1
5158.855662,2012,449,preinsert,7731.996401,2667.354525,192.826089,0.707103442,0.707110120,0.000000000,0.000000000,1
5158.954955,2012,449,insert,7731.996401,2667.354525,190.711616,0.707103442,0.707110120,0.000000000,0.000000000,1
5159.038288,2012,449,insert,7731.996401,2667.354525,176.231616,0.707103442,0.707110120,0.000000000,0.000000000,1
5159.121622,2012,449,insert,7731.996401,2667.354525,111.351616,0.707103442,0.707110120,0.000000000,0.000000000,1
5159.204955,2012,449,insert,7731.996401,2667.354525,20.071616,0.707103442,0.707110120,0.000000000,0.000000000,1
5159.288288,2012,449,insert,7731.996401,2667.354525,-44.808384,0.707103442,0.707110120,0.000000000,0.000000000,1
5159.371622,2012,449,release,7731.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5159.471622,2012,449,retreat,7731.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5159.571622,2012,449,retreat,7731.996401,2667.354525,-41.912384,0.707103442,0.707110120,0.000000000,0.000000000,0
5159.671622,2012,449,retreat,7731.996401,2667.354525,35.943616,0.707103442,0.707110120,0.000000000,0.000000000,0
5159.771622,2012,449,retreat,7731.996401,2667.354525,145.479616,0.707103442,0.707110120,0.000000000,0.000000000,0
5159.871622,2012,449,retreat,7731.996401,2667.354525,223.335616,0.707103442,0.707110120,0.000000000,0.000000000,0
5159.971622,2012,449,retreat,7731.996401,2667.354525,240.711616,0.707103442,0.707110120,0.000000000,0.000000000,0
5159.971622,2013,451,preinsert,7856.996401,2667.354525,1143.929847,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.070915,2013,451,preinsert,7856.996401,2667.354525,1141.815374,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.170209,2013,451,preinsert,7856.996401,2667.354525,1128.628553,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.269502,2013,451,preinsert,7856.996401,2667.354525,1097.442350,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.368796,2013,451,preinsert,7856.996401,2667.354525,1045.256866,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.468090,2013,451,preinsert,7856.996401,2667.354525,972.344820,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.567383,2013,451,preinsert,7856.996401,2667.354525,881.597022,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.666677,2013,451,preinsert,7856.996401,2667.354525,777.867851,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.765970,2013,451,preinsert,7856.996401,2667.354525,667.320732,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.865264,2013,451,preinsert,7856.996401,2667.354525,556.773612,0.707103442,0.707110120,0.000000000,0.000000000,1
5160.964557,2013,451,preinsert,7856.996401,2667.354525,453.044441,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.063851,2013,451,preinsert,7856.996401,2667.354525,362.296643,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.163145,2013,451,preinsert,7856.996401,2667.354525,289.384597,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.262438,2013,451,preinsert,7856.996401,2667.354525,237.199113,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.361732,2013,451,preinsert,7856.996401,2667.354525,206.012910,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.461025,2013,451,preinsert,7856.996401,2667.354525,192.826089,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.560319,2013,451,insert,7856.996401,2667.354525,190.711616,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.643652,2013,451,insert,7856.996401,2667.354525,176.231616,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.726986,2013,451,insert,7856.996401,2667.354525,111.351616,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.810319,2013,451,insert,7856.996401,2667.354525,20.071616,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.893652,2013,451,insert,7856.996401,2667.354525,-44.808384,0.707103442,0.707110120,0.000000000,0.000000000,1
5161.976986,2013,451,release,7856.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5162.076986,2013,451,retreat,7856.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5162.176986,2013,451,retreat,7856.996401,2667.354525,-41.912384,0.707103442,0.707110120,0.000000000,0.000000000,0
5162.276986,2013,451,retreat,7856.996401,2667.354525,35.943616,0.707103442,0.707110120,0.000000000,0.000000000,0
5162.376986,2013,451,retreat,7856.996401,2667.354525,145.479616,0.707103442,0.707110120,0.000000000,0.000000000,0
5162.476986,2013,451,retreat,7856.996401,2667.354525,223.335616,0.707103442,0.707110120,0.000000000,0.000000000,0
5162.576986,2013,451,retreat,7856.996401,2667.354525,240.711616,0.707103442,0.707110120,0.000000000,0.000000000,0
5162.576986,2014,453,preinsert,7981.996401,2667.354525,1143.929847,0.707103442,0.707110120,0.000000000,0.000000000,1
5162.676279,2014,453,preinsert,7981.996401,2667.354525,1141.815374,0.707103442,0.707110120,0.000000000,0.000000000,1
5162.775573,2014,453,preinsert,7981.996401,2667.354525,1128.628553,0.707103442,0.707110120,0.000000000,0.000000000,1
5162.874866,2014,453,preinsert,7981.996401,2667.354525,1097.442350,0.707103442,0.707110120,0.000000000,0.000000000,1
